SOC Group,Domain,Keyword Phrase
Management Occupations,Leadership & Influence,leadership
Management Occupations,Leadership & Influence,coaching
Management Occupations,Leadership & Influence,influence
Management Occupations,Leadership & Influence,vision
Management Occupations,Leadership & Influence,strategy
Management Occupations,Leadership & Influence,mentorship
Management Occupations,Leadership & Influence,decision-making
Management Occupations,Leadership & Influence,initiative
Management Occupations,Leadership & Influence,credibility
Management Occupations,Leadership & Influence,alignment
Management Occupations,Systems & Structure,workflow
Management Occupations,Systems & Structure,process
Management Occupations,Systems & Structure,infrastructure
Management Occupations,Systems & Structure,architecture
Management Occupations,Systems & Structure,governance
Management Occupations,Systems & Structure,standards
Management Occupations,Systems & Structure,interoperability
Management Occupations,Systems & Structure,system design
Management Occupations,Systems & Structure,platform
Management Occupations,Systems & Structure,protocol
Management Occupations,Outcomes & Impact,impact
Management Occupations,Outcomes & Impact,result
Management Occupations,Outcomes & Impact,deliverable
Management Occupations,Outcomes & Impact,transformation
Management Occupations,Outcomes & Impact,metric
Management Occupations,Outcomes & Impact,value
Management Occupations,Outcomes & Impact,evidence of change
Management Occupations,Outcomes & Impact,ROI
Management Occupations,Outcomes & Impact,growth
Management Occupations,Outcomes & Impact,effectiveness
Business and Financial Operations Occupations,Data & Evidence,data
Business and Financial Operations Occupations,Data & Evidence,evidence
Business and Financial Operations Occupations,Data & Evidence,research
Business and Financial Operations Occupations,Data & Evidence,evaluation
Business and Financial Operations Occupations,Data & Evidence,insight
Business and Financial Operations Occupations,Data & Evidence,measurement
Business and Financial Operations Occupations,Data & Evidence,analytics
Business and Financial Operations Occupations,Data & Evidence,observation
Business and Financial Operations Occupations,Data & Evidence,indicators
Business and Financial Operations Occupations,Data & Evidence,outcomes
Business and Financial Operations Occupations,Risk & Compliance,risk
Business and Financial Operations Occupations,Risk & Compliance,compliance
Business and Financial Operations Occupations,Risk & Compliance,regulation
Business and Financial Operations Occupations,Risk & Compliance,audit
Business and Financial Operations Occupations,Risk & Compliance,policy
Business and Financial Operations Occupations,Risk & Compliance,safety
Business and Financial Operations Occupations,Risk & Compliance,liability
Business and Financial Operations Occupations,Risk & Compliance,control
Business and Financial Operations Occupations,Risk & Compliance,protocol
Business and Financial Operations Occupations,Risk & Compliance,ethics
Business and Financial Operations Occupations,Systems & Structure,workflow
Business and Financial Operations Occupations,Systems & Structure,process
Business and Financial Operations Occupations,Systems & Structure,infrastructure
Business and Financial Operations Occupations,Systems & Structure,architecture
Business and Financial Operations Occupations,Systems & Structure,governance
Business and Financial Operations Occupations,Systems & Structure,standards
Business and Financial Operations Occupations,Systems & Structure,interoperability
Business and Financial Operations Occupations,Systems & Structure,system design
Business and Financial Operations Occupations,Systems & Structure,platform
Business and Financial Operations Occupations,Systems & Structure,protocol
Computer and Mathematical Occupations,AI & Technical Literacy,AI
Computer and Mathematical Occupations,AI & Technical Literacy,machine learning
Computer and Mathematical Occupations,AI & Technical Literacy,automation
Computer and Mathematical Occupations,AI & Technical Literacy,digital fluency
Computer and Mathematical Occupations,AI & Technical Literacy,tools
Computer and Mathematical Occupations,AI & Technical Literacy,algorithms
Computer and Mathematical Occupations,AI & Technical Literacy,prompting
Computer and Mathematical Occupations,AI & Technical Literacy,data modeling
Computer and Mathematical Occupations,AI & Technical Literacy,tech stack
Computer and Mathematical Occupations,AI & Technical Literacy,interface
Computer and Mathematical Occupations,Systems & Structure,workflow
Computer and Mathematical Occupations,Systems & Structure,process
Computer and Mathematical Occupations,Systems & Structure,infrastructure
Computer and Mathematical Occupations,Systems & Structure,architecture
Computer and Mathematical Occupations,Systems & Structure,governance
Computer and Mathematical Occupations,Systems & Structure,standards
Computer and Mathematical Occupations,Systems & Structure,interoperability
Computer and Mathematical Occupations,Systems & Structure,system design
Computer and Mathematical Occupations,Systems & Structure,platform
Computer and Mathematical Occupations,Systems & Structure,protocol
Computer and Mathematical Occupations,Data & Evidence,data
Computer and Mathematical Occupations,Data & Evidence,evidence
Computer and Mathematical Occupations,Data & Evidence,research
Computer and Mathematical Occupations,Data & Evidence,evaluation
Computer and Mathematical Occupations,Data & Evidence,insight
Computer and Mathematical Occupations,Data & Evidence,measurement
Computer and Mathematical Occupations,Data & Evidence,analytics
Computer and Mathematical Occupations,Data & Evidence,observation
Computer and Mathematical Occupations,Data & Evidence,indicators
Computer and Mathematical Occupations,Data & Evidence,outcomes
Architecture and Engineering Occupations,Systems & Structure,workflow
Architecture and Engineering Occupations,Systems & Structure,process
Architecture and Engineering Occupations,Systems & Structure,infrastructure
Architecture and Engineering Occupations,Systems & Structure,architecture
Architecture and Engineering Occupations,Systems & Structure,governance
Architecture and Engineering Occupations,Systems & Structure,standards
Architecture and Engineering Occupations,Systems & Structure,interoperability
Architecture and Engineering Occupations,Systems & Structure,system design
Architecture and Engineering Occupations,Systems & Structure,platform
Architecture and Engineering Occupations,Systems & Structure,protocol
Architecture and Engineering Occupations,Outcomes & Impact,impact
Architecture and Engineering Occupations,Outcomes & Impact,result
Architecture and Engineering Occupations,Outcomes & Impact,deliverable
Architecture and Engineering Occupations,Outcomes & Impact,transformation
Architecture and Engineering Occupations,Outcomes & Impact,metric
Architecture and Engineering Occupations,Outcomes & Impact,value
Architecture and Engineering Occupations,Outcomes & Impact,evidence of change
